22,3,17,Buckie Jordanson
11,3,18,Itch Nardoni
87,6,8,Sondra O'Lochan
36,7,12,Craggie Cord
93,2,16,Wilhelm Issakov
62,9,15,Hastings Blasoni
68,8,7,Burton Stanfield
34,12,15,Heath Adamo
17,5,6,Karl Damiral
97,9,2,Leonie Petrolli
14,6,19,Donovan Immer
3,1,19,Karola Andriessen
88,6,15,Cyril Blues
64,3,11,Antony Cullen
37,5,1,Loralee Brunesco
97,3,16,Alika Alcide
93,10,15,Averil Hurring
58,11,12,Laraine McHenry
43,8,20,Lauren Goter
66,4,10,Silvano Matschke
32,3,5,Dorolisa Ciric
18,7,12,Minetta Dulanty
14,3,11,Edy Hourahan
92,10,17,Inna Braid
52,1,20,Anestassia Entreis
45,8,12,Sophey Moro
50,8,5,Noelani McGowing
